INDEX,TRIP_ID,CALL_TYPE,TIMESTAMP,POLYLINE
403,1392284808620000222,B,1392284808,"[[-8.58573,41.148513],[-8.58573,41.148558],[-8.585739,41.148594],[-8.585721,41.148693],[-8.585694,41.148909],[-8.585811,41.148963],[-8.586468,41.148981],[-8.587746,41.149269],[-8.589195,41.149656],[-8.591121,41.150223],[-8.59302,41.150718],[-8.59311,41.1507],[-8.593884,41.150934],[-8.594568,41.152212],[-8.594883,41.153454],[-8.595135,41.154192],[-8.595171,41.155038],[-8.594703,41.15601],[-8.594298,41.156901],[-8.593533,41.158377],[-8.594118,41.158998],[-8.595702,41.159448],[-8.595711,41.159898],[-8.594064,41.160375],[-8.594469,41.160609],[-8.596872,41.160933],[-8.598078,41.161068],[-8.598159,41.161086],[-8.600013,41.161302],[-8.600121,41.161329],[-8.600157,41.161356],[-8.601633,41.161518],[-8.603568,41.161797],[-8.603577,41.161716],[-8.604342,41.161842],[-8.606457,41.162103],[-8.608941,41.162436],[-8.610273,41.162589],[-8.61066,41.162589],[-8.611929,41.162823],[-8.613765,41.163039],[-8.615808,41.163318],[-8.617941,41.163579],[-8.619948,41.163831],[-8.62029,41.163867],[-8.620281,41.163867],[-8.620299,41.163867],[-8.621946,41.164074],[-8.624286,41.16438],[-8.624637,41.164407],[-8.624628,41.164425],[-8.624907,41.164938],[-8.624988,41.166135],[-8.625141,41.166675],[-8.625132,41.166693],[-8.625123,41.166693],[-8.625141,41.166693],[-8.625159,41.166702],[-8.625231,41.167404],[-8.625411,41.168097],[-8.625402,41.168088],[-8.625429,41.168241],[-8.625636,41.169312]]"
452,1382072654620000320,C,1382072654,"[[-8.626203,41.152761],[-8.627139,41.152392],[-8.628597,41.152356],[-8.629767,41.152617],[-8.629812,41.152698],[-8.629902,41.152662],[-8.630046,41.152518],[-8.630505,41.152644],[-8.633358,41.15151],[-8.636211,41.15106],[-8.639676,41.151276],[-8.640459,41.151339],[-8.641818,41.151492],[-8.64378,41.152707],[-8.645832,41.15646],[-8.648064,41.159448],[-8.646543,41.164929],[-8.642745,41.166531],[-8.640792,41.167278],[-8.641449,41.166819],[-8.642844,41.167845],[-8.644851,41.169483],[-8.647461,41.171589],[-8.650575,41.174154],[-8.65377,41.176683],[-8.65746,41.179716],[-8.660556,41.182209],[-8.663454,41.18454],[-8.665722,41.186403],[-8.667099,41.187384],[-8.668818,41.188347],[-8.671086,41.189004],[-8.673615,41.189283],[-8.67618,41.189742],[-8.678601,41.191029],[-8.680419,41.192838],[-8.682183,41.194656],[-8.684793,41.197293],[-8.687664,41.200128],[-8.690004,41.203224],[-8.690301,41.206824],[-8.690373,41.210712],[-8.690472,41.214726],[-8.690931,41.218659],[-8.69229,41.222322],[-8.69418,41.225544],[-8.695098,41.228892],[-8.694828,41.231781],[-8.691552,41.232213],[-8.687403,41.231961],[-8.683002,41.231592],[-8.679186,41.230089],[-8.675487,41.228325],[-8.671842,41.226579],[-8.668458,41.225517],[-8.667963,41.224455],[-8.668836,41.225985],[-8.668251,41.228964],[-8.667117,41.231925],[-8.666901,41.234409],[-8.667846,41.236812],[-8.668827,41.238657],[-8.669781,41.239035],[-8.670411,41.238225],[-8.670186,41.237343],[-8.670141,41.236722],[-8.670105,41.236704],[-8.670177,41.236713]]"
474,1403868943620000068,B,1403868943,"[[-8.619822,41.147955],[-8.620146,41.147622],[-8.620299,41.147397],[-8.620317,41.147379],[-8.620335,41.147397],[-8.620335,41.147406],[-8.620335,41.147424],[-8.620236,41.146533],[-8.620191,41.146299],[-8.620173,41.146236],[-8.618481,41.146263],[-8.618193,41.146299],[-8.617671,41.146245],[-8.617311,41.144967],[-8.61597,41.145309],[-8.614656,41.145822],[-8.613414,41.14584],[-8.612514,41.145975],[-8.612478,41.146047],[-8.61246,41.146065],[-8.612271,41.146083],[-8.610831,41.146065],[-8.610804,41.145984],[-8.61084,41.145219],[-8.610435,41.143581],[-8.609463,41.143149],[-8.607051,41.142348],[-8.60544,41.14287],[-8.605395,41.143005],[-8.60526,41.143221],[-8.605134,41.143545],[-8.604486,41.145174],[-8.603856,41.145525],[-8.603622,41.145534],[-8.603622,41.145516],[-8.603604,41.145516],[-8.601444,41.145741]]"
487,1386002893620000562,B,1386002893,"[[-8.617581,41.146218],[-8.617527,41.145858],[-8.617446,41.145363],[-8.617167,41.144859],[-8.616051,41.145255],[-8.614431,41.145876],[-8.612847,41.145993],[-8.6121,41.146056],[-8.611227,41.146497],[-8.611047,41.14755],[-8.611011,41.147586],[-8.610975,41.147622],[-8.610885,41.148072],[-8.610354,41.149404],[-8.610264,41.150124],[-8.610273,41.150376],[-8.610255,41.150457],[-8.610066,41.150736],[-8.60976,41.151123],[-8.609886,41.151915],[-8.610039,41.152896],[-8.61003,41.153292],[-8.60967,41.154165],[-8.60922,41.15502],[-8.610714,41.155218],[-8.611227,41.155245],[-8.611668,41.155272],[-8.611884,41.155695],[-8.611848,41.156541],[-8.612622,41.15691],[-8.612658,41.15718],[-8.612856,41.157081],[-8.612865,41.157036],[-8.612874,41.157027],[-8.612874,41.157027],[-8.612901,41.157]]"
559,1373296456620000198,B,1373296456,"[[-8.569701,41.166063],[-8.568612,41.166315],[-8.566353,41.166441],[-8.564094,41.167242],[-8.5617,41.168205],[-8.561079,41.168511],[-8.560233,41.169384],[-8.560305,41.170995],[-8.558253,41.171679],[-8.556435,41.172822],[-8.555544,41.173362],[-8.555418,41.173443],[-8.554158,41.173605],[-8.552196,41.173839],[-8.550081,41.173254],[-8.547786,41.17275],[-8.546913,41.172948],[-8.546652,41.173362],[-8.547237,41.173758],[-8.547354,41.173632],[-8.547435,41.17356],[-8.547471,41.173542]]"
564,1389798511620000215,B,1389798511,"[[-8.606547,41.144697],[-8.606556,41.144706],[-8.60697,41.144886],[-8.607069,41.144976],[-8.607114,41.145012],[-8.607285,41.145273],[-8.607312,41.145696],[-8.607078,41.146317],[-8.606952,41.146704],[-8.606835,41.146893],[-8.607267,41.147091],[-8.60751,41.147181],[-8.607843,41.147235],[-8.608365,41.147388],[-8.608464,41.147397],[-8.609004,41.147595],[-8.610381,41.147901],[-8.610885,41.148216],[-8.610516,41.149116],[-8.610138,41.150079],[-8.609652,41.151213],[-8.609463,41.151483],[-8.610012,41.152212],[-8.609949,41.1534],[-8.609274,41.154786],[-8.609148,41.156514],[-8.608689,41.158188],[-8.608329,41.1588],[-8.60778,41.160123],[-8.606421,41.163633],[-8.60625,41.165073],[-8.606277,41.165163],[-8.606295,41.165172],[-8.606349,41.165667],[-8.606439,41.167269],[-8.60634,41.169132],[-8.604855,41.171094],[-8.604882,41.172984],[-8.605791,41.173596],[-8.606196,41.174523],[-8.607591,41.175306],[-8.609103,41.175432],[-8.610858,41.176116],[-8.612208,41.17689],[-8.613,41.17743],[-8.612739,41.177718],[-8.612766,41.177898],[-8.612784,41.177925],[-8.612802,41.177934],[-8.61282,41.177907],[-8.612811,41.177907]]"
585,1397919272620000153,B,1397919272,"[[-8.630595,41.154768],[-8.630892,41.15448],[-8.63226,41.153103],[-8.633394,41.151204],[-8.636202,41.15106],[-8.638803,41.151222],[-8.641332,41.151483],[-8.643663,41.152626],[-8.645355,41.155398],[-8.647146,41.158431],[-8.649234,41.16141],[-8.647812,41.164209],[-8.644689,41.16555],[-8.642205,41.166846],[-8.640675,41.167143],[-8.642052,41.167251],[-8.644131,41.168916],[-8.646462,41.170806],[-8.649153,41.173065],[-8.651313,41.174811],[-8.653212,41.176458],[-8.655021,41.177898],[-8.656038,41.178141],[-8.657883,41.177628],[-8.659026,41.179176],[-8.659953,41.179995],[-8.66223,41.180418],[-8.663157,41.181021],[-8.663373,41.181741],[-8.66349,41.18175],[-8.663508,41.181732],[-8.663499,41.181723],[-8.663454,41.181714]]"
660,1390472039620000615,B,1390472039,"[[-8.580096,41.15943],[-8.580078,41.159412],[-8.580915,41.159394],[-8.582202,41.158764],[-8.583993,41.158431],[-8.585685,41.157765],[-8.587935,41.157414],[-8.590347,41.156838],[-8.591067,41.156568],[-8.59113,41.156415],[-8.591139,41.156406],[-8.591139,41.156397],[-8.591301,41.156253],[-8.591328,41.155506],[-8.591157,41.154264],[-8.591877,41.152671],[-8.592894,41.151159],[-8.593506,41.151006],[-8.59482,41.150502],[-8.596485,41.149458],[-8.597727,41.148675],[-8.597826,41.148594],[-8.598519,41.148369],[-8.599869,41.148594],[-8.60148,41.1489],[-8.603604,41.149152],[-8.60553,41.149683],[-8.606331,41.149935],[-8.606943,41.15007],[-8.607645,41.149251],[-8.608239,41.148081],[-8.608563,41.14764],[-8.609229,41.147577],[-8.610435,41.14782],[-8.610831,41.147865],[-8.612496,41.148063],[-8.620155,41.147658],[-8.620119,41.147649],[-8.62011,41.147649],[-8.62011,41.147649],[-8.62011,41.147658],[-8.62011,41.147658]]"
692,1386708596620000603,C,1386708596,"[[-8.630226,41.157432],[-8.629884,41.157099],[-8.629623,41.156991],[-8.629065,41.156973],[-8.628192,41.15646],[-8.627292,41.155335],[-8.626689,41.153976],[-8.626311,41.153013],[-8.626293,41.152986],[-8.626302,41.152833],[-8.626059,41.152077],[-8.62587,41.150484],[-8.625636,41.148981],[-8.625348,41.148513],[-8.623503,41.147928],[-8.621892,41.147523],[-8.620425,41.147181],[-8.620218,41.146353],[-8.619156,41.146164],[-8.617653,41.146263],[-8.617365,41.145147],[-8.616285,41.145138],[-8.614818,41.14575],[-8.613702,41.145957],[-8.61237,41.145984],[-8.610993,41.145948],[-8.610921,41.145273],[-8.610948,41.145291],[-8.610957,41.145273],[-8.610966,41.145246],[-8.610975,41.145219],[-8.611281,41.14485],[-8.612424,41.144049],[-8.613738,41.143131],[-8.614467,41.142888],[-8.615241,41.142699],[-8.615295,41.141547],[-8.614917,41.140764],[-8.613693,41.141232],[-8.610183,41.14089],[-8.60958,41.140359],[-8.609193,41.139117],[-8.609958,41.138748],[-8.611254,41.138163],[-8.612532,41.137884],[-8.61363,41.137641],[-8.614575,41.137407],[-8.615781,41.137128],[-8.616996,41.136939],[-8.618103,41.136804],[-8.618328,41.135634],[-8.61822,41.134122],[-8.617959,41.132799],[-8.617887,41.131728],[-8.617698,41.131278],[-8.616303,41.131908],[-8.614323,41.132646],[-8.61264,41.13279],[-8.613252,41.133006],[-8.613549,41.133168],[-8.612613,41.133159],[-8.612838,41.133465],[-8.612937,41.133483],[-8.612955,41.133492],[-8.612973,41.133501],[-8.612982,41.13351],[-8.612955,41.133492],[-8.612937,41.133474],[-8.612928,41.133465],[-8.612937,41.133465],[-8.612937,41.133465],[-8.61309,41.133429]]"
694,1389395125620000201,B,1389395125,"[[-8.62767,41.157729],[-8.627913,41.158143],[-8.628912,41.158836],[-8.629569,41.158935],[-8.62992,41.158755],[-8.630739,41.158287],[-8.632935,41.158692],[-8.634924,41.158989],[-8.636292,41.159196],[-8.638416,41.159574],[-8.64009,41.159853],[-8.641926,41.160231],[-8.643393,41.160618],[-8.643501,41.160573],[-8.643501,41.160546],[-8.644725,41.160663],[-8.646579,41.160942],[-8.648613,41.161275],[-8.649567,41.161419],[-8.652456,41.161977],[-8.654454,41.162265],[-8.655588,41.162454],[-8.655984,41.163183],[-8.656254,41.164533],[-8.657847,41.165334],[-8.659494,41.16609],[-8.659323,41.166711],[-8.659161,41.166882],[-8.659116,41.166954],[-8.659026,41.167098]]"
698,1378101111620000572,C,1378101111,"[[-8.640828,41.160087],[-8.641359,41.160015],[-8.641422,41.160006],[-8.641134,41.16042],[-8.639541,41.161023],[-8.637858,41.161761],[-8.637579,41.161068],[-8.637984,41.159934],[-8.638029,41.159673],[-8.637237,41.159304],[-8.63613,41.159088],[-8.635995,41.159088],[-8.634933,41.158629],[-8.633349,41.158098],[-8.631936,41.156964],[-8.630937,41.156901],[-8.629902,41.157144],[-8.62866,41.156991],[-8.627238,41.155551],[-8.626509,41.153571],[-8.626203,41.152446],[-8.625879,41.151033],[-8.62596,41.150736],[-8.625573,41.149647],[-8.62452,41.148171],[-8.621901,41.147424],[-8.620353,41.146821],[-8.619048,41.146182],[-8.617671,41.146182],[-8.617743,41.146155]]"
725,1393279569620000624,B,1393279569,"[[-8.606475,41.144742],[-8.606574,41.144787],[-8.607528,41.14404],[-8.608095,41.143194],[-8.608086,41.142843],[-8.605557,41.142699],[-8.605197,41.143428],[-8.604459,41.14386],[-8.602344,41.143185],[-8.60166,41.140908],[-8.601138,41.138046],[-8.602551,41.135265],[-8.599905,41.13306],[-8.597034,41.13135],[-8.596611,41.130693],[-8.595153,41.130117],[-8.593578,41.129379],[-8.592921,41.128632],[-8.59293,41.128641],[-8.59212,41.127633],[-8.589888,41.127651],[-8.589636,41.127597]]"
879,1403646530620000651,C,1403646530,"[[-8.671545,41.149017],[-8.671383,41.149008],[-8.669979,41.148486],[-8.668089,41.147748],[-8.666613,41.147415],[-8.665443,41.147937],[-8.663868,41.147991],[-8.662626,41.147739],[-8.661204,41.147442],[-8.659764,41.146974],[-8.658207,41.146704],[-8.657019,41.147127],[-8.655831,41.147748],[-8.654319,41.148414],[-8.652996,41.148288],[-8.651196,41.148072],[-8.64945,41.147892],[-8.647695,41.148396],[-8.645877,41.148405],[-8.644473,41.148225],[-8.642961,41.148036],[-8.64135,41.148252],[-8.639631,41.148468],[-8.63766,41.148351],[-8.635788,41.14809],[-8.634294,41.14764],[-8.633223,41.147154],[-8.633196,41.147118],[-8.633124,41.147082],[-8.632197,41.147685],[-8.630739,41.149431],[-8.629155,41.151231],[-8.627382,41.151942],[-8.626347,41.152257],[-8.626212,41.152302],[-8.624421,41.152824],[-8.621964,41.152725],[-8.621037,41.152716],[-8.620767,41.152572],[-8.621532,41.151546],[-8.622936,41.150799],[-8.622981,41.1498],[-8.622504,41.149449],[-8.621622,41.149584],[-8.621145,41.149638],[-8.621127,41.149629],[-8.621091,41.14962],[-8.620308,41.149728]]"
955,1375861664620000192,A,1375861664,"[[-8.646417,41.169474],[-8.646282,41.169339],[-8.6454,41.169546],[-8.644194,41.168664],[-8.643528,41.167125],[-8.641746,41.166117],[-8.640513,41.167764],[-8.638785,41.169492],[-8.636004,41.170968],[-8.632629,41.171769],[-8.629074,41.172507],[-8.625843,41.172921],[-8.623026,41.172156],[-8.62227,41.173974],[-8.622252,41.17716],[-8.621955,41.179914],[-8.61894,41.181831],[-8.615709,41.182947],[-8.614584,41.183064],[-8.613918,41.183109],[-8.613918,41.1831],[-8.613909,41.1831],[-8.613891,41.1831],[-8.613891,41.183109]]"
974,1374154470620000068,B,1374154470,"[[-8.622927,41.150871],[-8.623053,41.150295],[-8.622504,41.149458],[-8.622504,41.149494],[-8.622531,41.149449],[-8.622297,41.149557],[-8.620614,41.149935],[-8.617536,41.149053],[-8.618112,41.14836],[-8.619363,41.148684],[-8.619435,41.148423],[-8.620074,41.147595],[-8.620344,41.147199],[-8.620272,41.146965],[-8.619759,41.146029],[-8.618202,41.146245],[-8.618139,41.14629],[-8.618103,41.146317],[-8.618013,41.146452],[-8.617815,41.146407],[-8.617275,41.14494],[-8.615997,41.145255],[-8.614728,41.145705],[-8.612784,41.145894],[-8.611857,41.14566],[-8.610372,41.149116],[-8.610372,41.149143]]"
978,1377124184620000254,B,1377124184,"[[-8.613837,41.141196],[-8.614125,41.141061],[-8.615124,41.140836],[-8.615709,41.140665],[-8.61723,41.140845],[-8.619246,41.14188],[-8.620947,41.143185],[-8.622252,41.143905],[-8.622648,41.144049],[-8.62479,41.144688],[-8.626599,41.144805],[-8.627247,41.144742],[-8.629614,41.144985],[-8.631144,41.145876],[-8.631135,41.145885],[-8.631765,41.14638],[-8.632683,41.147163],[-8.631468,41.148522],[-8.629983,41.150448],[-8.62902,41.151123],[-8.628795,41.151951],[-8.628786,41.152356],[-8.629236,41.15259],[-8.63145,41.152725],[-8.63352,41.152653],[-8.63577,41.1525],[-8.638227,41.153031],[-8.638299,41.154066],[-8.637201,41.156235],[-8.63604,41.158476],[-8.635878,41.158764]]"
999,1383362062620000269,C,1383362062,"[[-8.604711,41.152329],[-8.604747,41.152365],[-8.605386,41.151834],[-8.605476,41.152653],[-8.605278,41.153139],[-8.604657,41.153778],[-8.604603,41.154435],[-8.604504,41.155839],[-8.604441,41.158782],[-8.603964,41.161518],[-8.603874,41.161689],[-8.603829,41.161644],[-8.603892,41.161923],[-8.601786,41.163651],[-8.599932,41.165001],[-8.599896,41.165019],[-8.598762,41.165541],[-8.598735,41.165586],[-8.597331,41.166135],[-8.593263,41.167485],[-8.590428,41.168961],[-8.588934,41.170131],[-8.588205,41.171103],[-8.588385,41.172336],[-8.589816,41.173389]]"
1029,1393655571620000388,B,1393655571,"[[-8.612559,41.14602],[-8.612505,41.145993],[-8.611965,41.146065],[-8.612001,41.146101],[-8.611317,41.146371],[-8.610948,41.147685],[-8.6103,41.149359],[-8.610066,41.150655],[-8.609562,41.151393],[-8.60994,41.152635],[-8.609958,41.153499],[-8.609292,41.154714],[-8.609175,41.156829],[-8.608275,41.159169],[-8.606529,41.163156],[-8.606358,41.165856],[-8.606394,41.168331],[-8.605359,41.170392],[-8.604945,41.17086],[-8.604711,41.171166],[-8.604684,41.172669],[-8.607339,41.173038],[-8.610597,41.174397],[-8.614611,41.174406],[-8.618868,41.173848],[-8.622945,41.173452],[-8.627094,41.173038],[-8.631513,41.172228],[-8.635383,41.1714],[-8.638776,41.169744],[-8.641269,41.168367],[-8.643519,41.168394],[-8.645949,41.170356],[-8.648496,41.172345],[-8.651349,41.174595],[-8.654616,41.177313],[-8.657595,41.179788],[-8.660925,41.182506],[-8.664246,41.185197],[-8.667432,41.187717],[-8.671329,41.189157],[-8.675712,41.189724],[-8.679438,41.191974],[-8.682444,41.194944],[-8.68545,41.197923],[-8.688654,41.201055],[-8.69022,41.204475],[-8.690229,41.208057],[-8.690319,41.211738],[-8.6904,41.215266],[-8.69076,41.21829],[-8.690553,41.220162],[-8.689671,41.219622],[-8.688609,41.220675],[-8.68797,41.221341],[-8.687988,41.221332],[-8.687988,41.221323]]"
1148,1396414340620000372,C,1396414340,"[[-8.649414,41.154345],[-8.649954,41.154255],[-8.650404,41.153922],[-8.650269,41.153769],[-8.648883,41.154237],[-8.646273,41.154282],[-8.643447,41.154408],[-8.640936,41.153679],[-8.63856,41.15304],[-8.638209,41.152959],[-8.638182,41.152959]]"
1227,1403651292620000010,B,1403651292,"[[-8.628228,41.157486],[-8.627976,41.15772],[-8.628939,41.158836],[-8.630424,41.157972],[-8.629344,41.156901],[-8.627994,41.156217],[-8.626869,41.154615],[-8.626338,41.153013],[-8.626293,41.152896],[-8.62632,41.152914],[-8.625996,41.151924],[-8.625807,41.150115],[-8.625438,41.148648],[-8.623746,41.148009],[-8.621604,41.147496],[-8.620227,41.146641],[-8.619723,41.146092],[-8.617869,41.146353],[-8.617392,41.145192],[-8.616105,41.145219],[-8.614575,41.145867],[-8.614044,41.146236],[-8.614026,41.146263]]"
